GroovyBag,5,Great!,11/1/13,7:29:26
AverageTendency,5,Great!,11/7/07,8:29:26
LikeBehavior,5,Great!,11/19/07,0:17
HaltingParent,5,Great!,12/19/07,0:19
UnwieldyFly,5,Great!,1/9/08,0:25
UtopianWeek,5,Great!,2/18/08,0:30
GarrulousHobbies,5,Great!,2/23/08,0:33
FeebleHoliday286,5,Great!,2/27/08,0:44
HangingWorm,5,Great!,3/5/08,0:50
AbortiveFeast,5,Great!,3/18/08,1:02
EtherealCattle,5,Great!,5/21/08,1:24
MilkyGate,5,Great!,7/14/08,1:43
GullibleToothbrush025,5,Great!,9/5/08,2:01
VoraciousDress472,5,Great!,10/8/08,2:16
TabooTin822,5,Great!,11/22/08,2:26
MundaneLocket,5,Great!,11/23/08,3:17
ChemicalWood,5,Great!,11/26/08,3:26
AdjoiningCakes,5,Great!,11/29/08,3:31
CoherentSummer,5,Great!,12/4/08,3:44
SordidRecord,5,Great!,12/22/08,3:50
OverwroughtPai,5,Great!,1/16/09,4:11
LazyBreakfast231,5,Great!,1/19/09,4:28
WearyFan257,5,Great!,2/3/09,4:32
LanguidCart118,5,Great!,3/15/09,4:45
GoofySister786,5,Great!,6/25/09,4:53
AccidentalScale666,5,Great!,7/9/09,5:15
StraightError082,5,Great!,7/15/09,5:50
OafishFlavor228,5,Great!,7/20/09,5:52
UnarmedFireman,5,Great!,8/9/09,5:56
CulturedCough,5,Great!,9/4/09,5:58
GratisTransport,5,Great!,9/6/09,6:19
BrownHair841,5,Great!,9/28/09,7:06
WastefulToy342,5,Great!,9/30/09,7:11
EfficientFan100,5,Great!,10/4/09,7:13
BrightLetter633,5,Great!,10/25/09,7:14
LowlyFruit376,5,Great!,11/18/09,7:22
EnviousPie420,5,Great!,11/30/09,7:47
LovingSheep247,5,Great!,12/27/09,7:57
DisagreeableMotion621,5,Great!,1/3/10,8:02
FrailDowntown,5,Great!,1/22/10,8:25
ChildlikeCreature357,5,Great!,2/6/10,8:27
DerangedHand855,5,Great!,2/23/10,8:40
NiftyDime045,5,Great!,3/18/10,9:56
GullibleMeal227,5,Great!,4/30/10,10:46
EightCats601,5,Great!,5/13/10,11:02
